flare_id,flare_class_GOES,flare_start_UTC,flare_end_UTC,projectids,obs_ids
2212182312,C2.0,2022-12-18 23:06:12.227000+00:00,2022-12-18 23:16:12.228000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1355439936, 1355440008, 1355440080, 1355440152, 1355440224, 1355440296, 1355440368, 1355440440, 1355440512, 1355440584]"
2212262304,C2.7,2022-12-26 23:02:16.325000+00:00,2022-12-26 23:05:08.325000+00:00,"['C001', 'C001', 'C001']","[1356130920, 1356130992, 1356131064]"
2212270023,C2.7,2022-12-27 00:22:24.333000+00:00,2022-12-27 00:24:28.333000+00:00,['G0060'],[1356135720]
2301010700,C1.7,2023-01-01 06:58:24.524000+00:00,2023-01-01 07:06:08.524000+00:00,"['G0060', 'G0060', 'G0060']","[1356591712, 1356591512, 1356591912]"
2301030556,C1.1,2023-01-03 05:56:00.617000+00:00,2023-01-03 05:58:00.617000+00:00,"['G0060', 'G0060']","[1356760424, 1356760624]"
2301030602,C1.1,2023-01-03 06:00:28.618000+00:00,2023-01-03 06:05:04.618000+00:00,"['G0060', 'G0060']","[1356761032, 1356760832]"
2301110305,C3.8,2023-01-11 03:04:20.501000+00:00,2023-01-11 03:07:16.501000+00:00,['G0060'],[1357441472]
2301202311,C2.4,2023-01-20 23:10:05.665000+00:00,2023-01-20 23:16:17.666000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1358291352, 1358291424, 1358291496, 1358291568, 1358291640, 1358291712, 1358291784]"
2302102315,C5.3,2023-02-10 23:14:55.825000+00:00,2023-02-10 23:18:27.826000+00:00,"['C001', 'C001', 'C001']","[1360106112, 1360106184, 1360106256]"
2302180601,C3.5,2023-02-18 06:01:16.328000+00:00,2023-02-18 06:02:04.328000+00:00,['G0060'],[1360735328]
2302180620,,2023-02-18 06:19:40.330000+00:00,2023-02-18 06:20:20.330000+00:00,['G0060'],[1360736368]
2302260249,C2.7,2023-02-26 02:49:10.625000+00:00,2023-02-26 02:50:10.625000+00:00,['G0060'],[1361414832]
2302260310,C2.6,2023-02-26 03:10:30.627000+00:00,2023-02-26 03:11:26.627000+00:00,"['G0060', 'G0060']","[1361416096, 1361416296]"
2303032316,C3.2,2023-03-03 23:14:22.815000+00:00,2023-03-03 23:19:42.816000+00:00,"['D0038', 'D0038']","[1361920232, 1361920528]"
2303032325,C3.5,2023-03-03 23:20:50.816000+00:00,2023-03-03 23:37:10.818000+00:00,"['D0038', 'D0038', 'D0038', 'D0038']","[1361920824, 1361921120, 1361921416, 1361921712]"
2303040030,C3.2,2023-03-04 00:28:18.823000+00:00,2023-03-04 00:32:18.823000+00:00,"['D0038', 'D0038']","[1361924672, 1361924968]"
2303042337,C3.3,2023-03-04 23:11:34.867000+00:00,2023-03-04 23:52:50.871000+00:00,"['D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044']","[1362006536, 1362006832, 1362007128, 1362007424, 1362007720, 1362008016, 1362008312, 1362008608, 1362008904]"
2303050041,C3.3,2023-03-05 00:30:06.875000+00:00,2023-03-05 00:57:18.878000+00:00,"['D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044']","[1362011272, 1362011568, 1362011864, 1362012160, 1362012456, 1362012752, 1362013048]"
2303052245,C3.3,2023-03-05 22:20:18.813000+00:00,2023-03-05 23:15:18.819000+00:00,"['D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044', 'D0044']","[1362090024, 1362090320, 1362090616, 1362090912, 1362091208, 1362091504, 1362091800, 1362092096, 1362092392, 1362092688, 1362092984, 1362093280]"
2303052344,C2.5,2023-03-05 23:38:30.821000+00:00,2023-03-05 23:52:06.823000+00:00,"['D0044', 'D0044', 'D0044', 'D0044']","[1362094464, 1362094760, 1362095056, 1362095352]"
2303060053,C1.9,2023-03-06 00:48:28.829000+00:00,2023-03-06 00:57:20.830000+00:00,"['D0044', 'D0044']","[1362098904, 1362099200]"
2303070105,C1.8,2023-03-07 01:01:48.682000+00:00,2023-03-07 01:09:20.683000+00:00,"['D0044', 'D0044', 'D0044']","[1362185888, 1362186184, 1362186480]"
2303082300,C2.4,2023-03-08 22:58:48.475000+00:00,2023-03-08 23:01:04.475000+00:00,['C001'],[1362351648]
2303110010,C2.1,2023-03-11 00:07:34.687000+00:00,2023-03-11 00:26:58.689000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1362528504, 1362528744, 1362529344, 1362529584, 1362528864, 1362529104, 1362528384, 1362529224, 1362528624, 1362528984, 1362529464]"
2303110058,C4.9,2023-03-11 00:29:38.689000+00:00,2023-03-11 01:19:06.694000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1362530064, 1362530304, 1362529824, 1362530184, 1362529704, 1362530544, 1362530664, 1362530784, 1362530904, 1362531024, 1362531144, 1362531264, 1362531384, 1362531504, 1362531624, 1362531744, 1362531864, 1362531984, 1362532104, 1362532224, 1362532344, 1362532464, 1362532584, 1362532704, 1362529944, 1362530424]"
2303110128,C2.0,2023-03-11 01:25:06.695000+00:00,2023-03-11 01:32:14.695000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1362533064, 1362533184, 1362533304, 1362533424, 1362533544]"
2303110530,C1.2,2023-03-11 05:27:26.720000+00:00,2023-03-11 05:46:34.722000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1362547584, 1362547704, 1362547824, 1362547944, 1362548064, 1362548184, 1362548304, 1362548424, 1362548544, 1362548664, 1362548784]"
2303110604,C1.3,2023-03-11 05:57:46.724000+00:00,2023-03-11 06:33:46.727000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1362549384, 1362549504, 1362549624, 1362549744, 1362549864, 1362549984, 1362550104, 1362550224, 1362550344, 1362550464, 1362550584, 1362550704, 1362550824, 1362550944, 1362551064, 1362551184, 1362551304, 1362551424, 1362551544]"
2303112240,B9.0,2023-03-11 22:39:10.829000+00:00,2023-03-11 22:44:10.830000+00:00,"['D0040', 'D0040', 'D0040', 'D0040']","[1362609504, 1362609624, 1362609744, 1362609864]"
2303182312,C1.8,2023-03-18 23:09:04.904000+00:00,2023-03-18 23:17:44.905000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1363216152, 1363216224, 1363216296, 1363216368, 1363216440, 1363216512, 1363216584, 1363216656]"
2303222316,C1.2,2023-03-22 23:13:53.316000+00:00,2023-03-22 23:21:09.316000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1363562040, 1363562112, 1363562184, 1363562256, 1363562328, 1363562400, 1363562472]"
2306040014,C3.2,2023-06-04 00:12:51.692000+00:00,2023-06-04 00:19:19.693000+00:00,"['D0040', 'D0040', 'D0040', 'D0040']","[1369872736, 1369872856, 1369872976, 1369873096]"
2306250703,C6.0,2023-06-25 06:58:27.601000+00:00,2023-06-25 07:28:27.605000+00:00,"['D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040', 'D0040']","[1371713176, 1371711736, 1371712456, 1371712816, 1371713296, 1371711496, 1371712216, 1371713056, 1371712096, 1371712936, 1371711976, 1371712576, 1371711616, 1371712696, 1371712336, 1371711856]"
2308242316,C2.3,2023-08-24 23:11:56.143000+00:00,2023-08-24 23:22:40.144000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1376953896, 1376953968, 1376954040, 1376954112, 1376954184, 1376954256, 1376954328, 1376954400, 1376954472, 1376954544]"
